Symbol, StockName,Sector,Industry,Currency,Sector
0072.HK,MODERN MEDIA,Communication Services,Advertising Agencies,CNY,Equity Securities (Main Board)
0073.HK,ASIAN CITRUS,NaN,NaN,USD,Equity Securities (Main Board)
0075.HK,Y.T. REALTY,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0076.HK,ELATE HOLDINGS,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0077.HK,AMS TRANSPORT,Industrials,Railroads,HKD,Equity Securities (Main Board)
0078.HK,REGAL INT'L,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0079.HK,CENTURY LEGEND,Consumer Cyclical,Personal Services,HKD,Equity Securities (Main Board)
0080.HK,CNEWECON FUND,NaN,NaN,HKD,Investment Companies
0081.HK,CH OVS G OCEANS,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0082.HK,V1 GROUP,Communication Services,Broadcasting,HKD,Equity Securities (Main Board)
0083.HK,SINO LAND,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0084.HK,STELUX HOLDINGS,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0085.HK,CE HUADA TECH,Technology,Semiconductors,HKD,Equity Securities (Main Board)
0086.HK,SUN HUNG KAI CO,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0087.HK,SWIRE PACIFIC B,NaN,NaN,HKD,Equity Securities (Main Board)
0088.HK,TAI CHEUNG HOLD,NaN,NaN,HKD,Equity Securities (Main Board)
0089.HK,TAI SANG LAND,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0090.HK,PX CLEAN ENERGY,NaN,NaN,CNY,Equity Securities (Main Board)
0091.HK,INT'L STD RES,Technology,Electronics & Computer Distribution,HKD,Equity Securities (Main Board)
0092.HK,CHAMPION TECH,Technology,Information Technology Services,HKD,Equity Securities (Main Board)
0093.HK,TERMBRAY IND,NaN,NaN,HKD,Equity Securities (Main Board)
0094.HK,GREENHEART GP,Basic Materials,Lumber & Wood Production,HKD,Equity Securities (Main Board)
0095.HK,LVGEM CHINA,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0096.HK,YUSEI,Consumer Cyclical,Auto Parts,HKD,Equity Securities (Main Board)
0097.HK,HENDERSON INV,Consumer Cyclical,Department Stores,HKD,Equity Securities (Main Board)
0098.HK,XINGFA ALUM,Basic Materials,Aluminum,CNY,Equity Securities (Main Board)
0099.HK,WONG'S INT'L,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0100.HK,CLEAR MEDIA,Communication Services,Advertising Agencies,CNY,Equity Securities (Main Board)
0101.HK,HANG LUNG PPT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0102.HK,SUMMIT ASCENT,Consumer Cyclical,Resorts & Casinos,HKD,Equity Securities (Main Board)
0103.HK,SHOUGANG CENT,Basic Materials,Steel,HKD,Equity Securities (Main Board)
0104.HK,ASIA COMM HOLD,Consumer Cyclical,Specialty Retail,HKD,Equity Securities (Main Board)
0105.HK,ASSO INT HOTELS,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0106.HK,LANDSEA PPT,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0107.HK,SICHUAN EXPRESS,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0108.HK,GR PROPERTIES,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0109.HK,GOODRESOURCES,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0110.HK,CHINA FORTUNE,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0111.HK,CINDA INTL HLDG,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0112.HK,LERTHAI GROUP,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0113.HK,DICKSON CONCEPT,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0114.HK,HERALD HOLD,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
0115.HK,GRAND FIELD GP,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0116.HK,CHOW SANG SANG,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0117.HK,TIANLI HOLDINGS,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0118.HK,COSMOS MACH,NaN,NaN,HKD,Equity Securities (Main Board)
0119.HK,POLY PROPERTY,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0120.HK,COSMOPOL INT'L,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0122.HK,CROCODILE,Consumer Cyclical,Apparel Manufacturing,HKD,Equity Securities (Main Board)
0123.HK,YUEXIU PROPERTY,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0124.HK,GD LAND,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0125.HK,SUN HING VISION,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0126.HK,CARRIANNA,Consumer Cyclical,Restaurants,HKD,Equity Securities (Main Board)
0127.HK,CHINESE EST H,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0128.HK,ENM HOLDINGS,Consumer Cyclical,Apparel Retail,HKD,Equity Securities (Main Board)
0129.HK,ASIA STANDARD,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0130.HK,MOISELLE INT'L,Consumer Cyclical,Apparel Manufacturing,HKD,Equity Securities (Main Board)
0131.HK,CHEUK NANG HOLD,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0132.HK,CHINA INV HOLD,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0133.HK,CHINA MERCHANTS,NaN,NaN,USD,Investment Companies
0135.HK,KUNLUN ENERGY,Energy,Oil & Gas Integrated,CNY,Equity Securities (Main Board)
0136.HK,HENGTEN NET,Consumer Cyclical,Internet Retail,CNY,Equity Securities (Main Board)
0137.HK,JINHUI HOLDINGS,Industrials,Marine Shipping,HKD,Equity Securities (Main Board)
0138.HK,CCT FORTIS,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0139.HK,CENTRALWEALTHGP,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0141.HK,SKYCHINAFORTUNE,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0142.HK,FIRST PACIFIC,Consumer Defensive,Packaged Foods,USD,Equity Securities (Main Board)
0143.HK,GUOAN INTL,Technology,Communication Equipment,HKD,Equity Securities (Main Board)
0144.HK,CHINA MER PORT,Industrials,Marine Shipping,HKD,Equity Securities (Main Board)
0145.HK,HK BLDG & LOAN,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0146.HK,TAI PING CARPET,NaN,NaN,HKD,Equity Securities (Main Board)
0147.HK,IB SETTLEMENT,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0148.HK,KINGBOARD HLDG,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0149.HK,CH AGRI-PROD EX,Consumer Defensive,Farm Products,HKD,Equity Securities (Main Board)
0150.HK,HYPEBEAST-2500,Communication Services,Internet Content & Information,HKD,Equity Securities (Main Board)
0151.HK,WANT WANT CHINA,Consumer Defensive,Packaged Foods,CNY,Equity Securities (Main Board)
0152.HK,SHENZHEN INT'L,Industrials,Infrastructure Operations,HKD,Equity Securities (Main Board)
0153.HK,CHINA SAITE,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0154.HK,BE ENVIRONMENT,Industrials,Waste Management,HKD,Equity Securities (Main Board)
0155.HK,CHINA SOLAR,NaN,NaN,USD,Equity Securities (Main Board)
0156.HK,LIPPO CHINA RES,Consumer Cyclical,Restaurants,HKD,Equity Securities (Main Board)
0157.HK,NATURAL BEAUTY,NaN,NaN,HKD,Equity Securities (Main Board)
0158.HK,MELBOURNE ENT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0159.HK,BROCKMAN MINING,Basic Materials,Other Industrial Metals & Mining,HKD,Equity Securities (Main Board)
0160.HK,HON KWOK LAND,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0161.HK,AVIC IHL,NaN,NaN,CNY,Equity Securities (Main Board)
0162.HK,CENTURY GINWA,Consumer Cyclical,Department Stores,CNY,Equity Securities (Main Board)
0163.HK,EMPEROR INT'L,NaN,NaN,HKD,Equity Securities (Main Board)
0164.HK,CHINA BAOLI TEC,N/A,N/A,HKD,Equity Securities (Main Board)
0165.HK,CHINA EB LTD,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0166.HK,NEWTIMES ENERGY,Energy,Oil & Gas E&P,HKD,Equity Securities (Main Board)
0167.HK,IDT INT'L,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0168.HK,TSINGTAO BREW,Consumer Defensive,Beverages&Brewers,CNY,Equity Securities (Main Board)
0169.HK,WANDA HOTEL DEV,NaN,NaN,HKD,Equity Securities (Main Board)
0171.HK,SILVER GRANT,Energy,Oil & Gas Refining & Marketing,HKD,Equity Securities (Main Board)
0172.HK,GOLDBOND GROUP,NaN,NaN,HKD,Equity Securities (Main Board)
0173.HK,K. WAH INT'L,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0174.HK,GEMINI INV,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0175.HK,GEELY AUTO,Consumer Cyclical,Auto Manufacturers,CNY,Equity Securities (Main Board)
0176.HK,SUPERACTIVE GP,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0177.HK,JIANGSU EXPRESS,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0178.HK,SA SA INT'L,Consumer Cyclical,Specialty Retail,HKD,Equity Securities (Main Board)
0179.HK,JOHNSON ELEC H,Industrials,Electrical Equipment & Parts,USD,Equity Securities (Main Board)
0180.HK,KADER HOLDINGS,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
0181.HK,FUJIAN HOLDINGS,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0182.HK,CONCORD NE,Utilities,Utilities&Renewable,CNY,Equity Securities (Main Board)
0183.HK,WINFULL GP,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0184.HK,KECK SENG INV,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0185.HK,ZENSUN ENT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0186.HK,NIMBLE HOLDINGS,Technology,Electronics & Computer Distribution,HKD,Equity Securities (Main Board)
0187.HK,JINGCHENG MAC,Industrials,Specialty Industrial Machinery,HKD,Equity Securities (Main Board)
0188.HK,SUNWAH KINGSWAY,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0189.HK,DONGYUE GROUP,Basic Materials,Chemicals,CNY,Equity Securities (Main Board)
0190.HK,HKC (HOLDINGS),Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0191.HK,LAI SUN INT'L,NaN,NaN,HKD,Equity Securities (Main Board)
0193.HK,CAPITAL ESTATE,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0194.HK,LIU CHONG HING,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0195.HK,GREENTECH INTL,NaN,NaN,HKD,Equity Securities (Main Board)
0196.HK,HONGHUA GROUP,Energy,Oil & Gas Equipment & Services,HKD,Equity Securities (Main Board)
0197.HK,HENG TAI,Consumer Defensive,Farm Products,HKD,Equity Securities (Main Board)
0198.HK,SMI HOLDINGS,NaN,NaN,HKD,Equity Securities (Main Board)
0199.HK,ITC PROPERTIES,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0200.HK,MELCO INT'L DEV,Consumer Cyclical,Resorts & Casinos,HKD,Equity Securities (Main Board)
0201.HK,MAGNIFICENT,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0202.HK,EVERCHINA INT'L,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0204.HK,CHINA INV DEV,NaN,NaN,HKD,Investment Companies
0205.HK,SEEC MEDIA,NaN,NaN,HKD,Equity Securities (Main Board)
0206.HK,CMIC OCEAN,Energy,Oil & Gas Equipment & Services,USD,Equity Securities (Main Board)
0207.HK,JOY CITY PPT,Real Estate,Real Estate&Diversified,CNY,Equity Securities (Main Board)
0208.HK,POLYTEC ASSET,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0209.HK,WINSHINE SCI,NaN,NaN,HKD,Equity Securities (Main Board)
0210.HK,DAPHNE INT'L,Consumer Cyclical,Footwear & Accessories,HKD,Equity Securities (Main Board)
0211.HK,STYLAND HOLD,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0212.HK,NANYANG HOLD,NaN,NaN,HKD,Equity Securities (Main Board)
0213.HK,NATIONAL ELEC H,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0214.HK,ASIA ORIENT,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0215.HK,HUTCHTEL HK,Communication Services,Telecom Services,HKD,Equity Securities (Main Board)
0216.HK,CHINNEY INV,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0217.HK,CHINA CHENGTONG,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0218.HK,SWHYHK,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0219.HK,SHUNHO PROPERTY,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0220.HK,U-PRESID CHINA,Consumer Defensive,Beverages&Non-Alcoholic,CNY,Equity Securities (Main Board)
0221.HK,EASY ONE FIN,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0222.HK,MIN XIN HOLD,Financial Services,Insurance&Property & Casualty,HKD,Equity Securities (Main Board)
0223.HK,ELIFE HLDGS,N/A,N/A,HKD,Equity Securities (Main Board)
0224.HK,PIONEER GLOBAL,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0225.HK,POKFULAM,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0226.HK,LIPPO,Consumer Defensive,Food Distribution,HKD,Equity Securities (Main Board)
0227.HK,FIRST SHANGHAI,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0228.HK,CHINA ENERGY,NaN,NaN,HKD,Equity Securities (Main Board)
0229.HK,RAYMOND IND,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0230.HK,MINMETALS LAND,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0231.HK,PING AN SEC GP,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0232.HK,AVIC INT'L,Industrials,Aerospace & Defense,HKD,Equity Securities (Main Board)
0233.HK,MY MEDICARE,NaN,NaN,USD,Equity Securities (Main Board)
0234.HK,NEW CENTURY GP,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
0235.HK,CHINA STRATEGIC,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0236.HK,SAN MIGUEL HK,NaN,NaN,HKD,Equity Securities (Main Board)
0237.HK,SAFETY GODOWN,NaN,NaN,HKD,Equity Securities (Main Board)
0238.HK,EVERGREEN INT,Consumer Cyclical,Apparel Manufacturing,CNY,Equity Securities (Main Board)
0239.HK,PAK FAH YEOW,NaN,NaN,HKD,Equity Securities (Main Board)
0240.HK,BUILD KING HOLD,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0241.HK,ALI HEALTH,Healthcare,Pharmaceutical Retailers,CNY,Equity Securities (Main Board)
0242.HK,SHUN TAK HOLD,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0243.HK,QPL INT'L,Technology,Semiconductors,HKD,Equity Securities (Main Board)
0244.HK,SINCERE,Consumer Cyclical,Department Stores,HKD,Equity Securities (Main Board)
0245.HK,CN MINSHENG FIN,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0246.HK,REALGOLD MINING,NaN,NaN,USD,Equity Securities (Main Board)
0247.HK,TST PROPERTIES,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0248.HK,HKC INT'L HOLD,Technology,Communication Equipment,HKD,Equity Securities (Main Board)
0250.HK,SINO-I TECH,Technology,Information Technology Services,HKD,Equity Securities (Main Board)
0251.HK,SEA HOLDINGS,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0252.HK,SE ASIA PPT,Consumer Cyclical,Packaging & Containers,HKD,Equity Securities (Main Board)
0253.HK,SHUNHO HOLDINGS,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0254.HK,NUR HOLDINGS,NaN,NaN,USD,Equity Securities (Main Board)
0255.HK,LUNG KEE,Industrials,Metal Fabrication,HKD,Equity Securities (Main Board)
0256.HK,CITYCHAMP,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0257.HK,CHINA EB INT'L,Industrials,Waste Management,HKD,Equity Securities (Main Board)
0258.HK,TOMSON GROUP,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0259.HK,YEEBO (INT'L H),Technology,Electronic Components,HKD,Equity Securities (Main Board)
0260.HK,AVIC JOY HLDG,Energy,Oil & Gas Refining & Marketing,HKD,Equity Securities (Main Board)
0261.HK,GBA INV HLDGS,Technology,Communication Equipment,HKD,Equity Securities (Main Board)
0262.HK,DESON DEV INT'L,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0263.HK,GT GROUP HLDG,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0264.HK,CN INT DEV CORP,Consumer Cyclical,Apparel Manufacturing,HKD,Equity Securities (Main Board)
0265.HK,ORIENT VICTORY,Consumer Cyclical,Travel Services,HKD,Equity Securities (Main Board)
0266.HK,TIAN TECK LAND,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0267.HK,CITIC,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0268.HK,KINGDEE INT'L,Technology,Software&Application,CNY,Equity Securities (Main Board)
0269.HK,CRTG,Industrials,Infrastructure Operations,HKD,Equity Securities (Main Board)
0270.HK,GUANGDONG INV,Utilities,Utilities&Regulated Water,HKD,Equity Securities (Main Board)
0271.HK,ASIASEC PPT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0272.HK,SHUI ON LAND,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0273.HK,MASON GP HOLD,Consumer Defensive,Household & Personal Products,HKD,Equity Securities (Main Board)
0274.HK,C BILLION RES,Basic Materials,Gold,HKD,Equity Securities (Main Board)
0275.HK,MASTER GLORY GP,Real Estate,Real Estate—Development,HKD,Equity Securities (Main Board)
0276.HK,MONGOLIA ENERGY,Energy,Thermal Coal,HKD,Equity Securities (Main Board)
0277.HK,TERN PROPERTIES,NaN,NaN,HKD,Equity Securities (Main Board)
0278.HK,WAH HA REALTY,NaN,NaN,HKD,Equity Securities (Main Board)
0279.HK,FREEMAN FINTECH,Financial Services,Financial Conglomerates,HKD,Equity Securities (Main Board)
0280.HK,KING FOOK HOLD,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0281.HK,RIVERA (HOLD),Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0282.HK,NEXT DIGITAL,Communication Services,Publishing,HKD,Equity Securities (Main Board)
0285.HK,BYD ELECTRONIC,Technology,Communication Equipment,CNY,Equity Securities (Main Board)
0286.HK,AIDIGONG,Healthcare,Medical Care Facilities,HKD,Equity Securities (Main Board)
0287.HK,WINFAIR INV,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0288.HK,WH GROUP,Consumer Defensive,Packaged Foods,USD,Equity Securities (Main Board)
0289.HK,WING ON CO,Consumer Cyclical,Department Stores,HKD,Equity Securities (Main Board)
0290.HK,C FORTUNE FIN,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0291.HK,CHINA RES BEER,Consumer Defensive,Beverages&Brewers,CNY,Equity Securities (Main Board)
0292.HK,ASIA STD HOTEL,Consumer Cyclical,Lodging,HKD,Equity Securities (Main Board)
0293.HK,CATHAY PAC AIR,Industrials,Airlines,HKD,Equity Securities (Main Board)
