Symbol, StockName,Sector,Industry,Currency,Sector
0663.HK,KING STONE ENGY,Basic Materials,Silver,HKD,Equity Securities (Main Board)
0665.HK,HAITONG INT'L,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0666.HK,SHK HK IND,NaN,NaN,HKD,Investment Companies
0667.HK,CHINA EAST EDU,Consumer Defensive,Education & Training Services,HKD,Equity Securities (Main Board)
0668.HK,DOYEN INTL HOLD,Financial Services,Credit Services,HKD,Equity Securities (Main Board)
0669.HK,TECHTRONIC IND,Industrials,Tools & Accessories,USD,Equity Securities (Main Board)
0670.HK,CHINA EAST AIR,Industrials,Airlines,CNY,Equity Securities (Main Board)
0672.HK,ZHONGAN GROUP,NaN,NaN,CNY,Equity Securities (Main Board)
0673.HK,CHINA HEALTH,NaN,NaN,HKD,Equity Securities (Main Board)
0674.HK,CHINA TANGSHANG,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0675.HK,K & P INT'L,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0676.HK,PEGASUS INT'L,Consumer Cyclical,Footwear & Accessories,USD,Equity Securities (Main Board)
0677.HK,GOLDEN RES DEV,NaN,NaN,HKD,Equity Securities (Main Board)
0678.HK,GENTING HK,Consumer Cyclical,Leisure,USD,Equity Securities (Main Board)
0679.HK,ASIA TELE-NET,Industrials,Specialty Industrial Machinery,HKD,Equity Securities (Main Board)
0680.HK,NAN HAI CORP,Communication Services,Entertainment,HKD,Equity Securities (Main Board)
0681.HK,CHI PEOPLE HOLD,Energy,Oil & Gas Midstream,CNY,Equity Securities (Main Board)
0682.HK,CHAODA MODERN,Consumer Defensive,Farm Products,CNY,Equity Securities (Main Board)
0683.HK,KERRY PPT,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0684.HK,ALLAN INT'L,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0685.HK,MEDIA CHINESE,Communication Services,Publishing,USD,Equity Securities (Main Board)
0686.HK,PANDA GREEN,Technology,Solar,CNY,Equity Securities (Main Board)
0687.HK,TYSAN HOLDINGS,NaN,NaN,HKD,Equity Securities (Main Board)
0688.HK,CHINA OVERSEAS,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0689.HK,EPI (HOLDINGS),NaN,NaN,HKD,Equity Securities (Main Board)
0690.HK,UNI-BIO GROUP,Healthcare,Biotechnology,HKD,Equity Securities (Main Board)
0691.HK,SHANSHUI CEMENT,Basic Materials,Building Materials,CNY,Equity Securities (Main Board)
0693.HK,TAN CHONG INT'L,Consumer Cyclical,Auto & Truck Dealerships,HKD,Equity Securities (Main Board)
0694.HK,BEIJING AIRPORT,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0695.HK,DONGWU CEMENT,Basic Materials,Building Materials,HKD,Equity Securities (Main Board)
0696.HK,TRAVELSKY TECH,NaN,NaN,CNY,Equity Securities (Main Board)
0697.HK,SHOUGANG INT'L,Basic Materials,Steel,HKD,Equity Securities (Main Board)
0698.HK,TONGDA GROUP,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0699.HK,CAR INC,Industrials,Rental & Leasing Services,CNY,Equity Securities (Main Board)
0700.HK,TENCENT,NaN,NaN,CNY,Equity Securities (Main Board)
0701.HK,CNT GROUP,Basic Materials,Specialty Chemicals,HKD,Equity Securities (Main Board)
0702.HK,SINO OIL & GAS,Energy,Oil & Gas E&P,HKD,Equity Securities (Main Board)
0703.HK,FUTURE BRIGHT,Consumer Cyclical,Restaurants,HKD,Equity Securities (Main Board)
0704.HK,HUSCOKE HLDGS,Energy,Thermal Coal,HKD,Equity Securities (Main Board)
0705.HK,DINGHE MINING,NaN,NaN,USD,Equity Securities (Main Board)
0706.HK,BEAUTI C HOLD,Basic Materials,Agricultural Inputs,HKD,Equity Securities (Main Board)
0707.HK,ATV HOLDINGS,Consumer Cyclical,Textile Manufacturing,CNY,Equity Securities (Main Board)
0708.HK,EVERG HEALTH,Healthcare,Medical Care Facilities,CNY,Equity Securities (Main Board)
0709.HK,GIORDANO INT'L,Consumer Cyclical,Apparel Retail,HKD,Equity Securities (Main Board)
0710.HK,BOE VARITRONIX,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0711.HK,ASIA ALLIED INF,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0712.HK,COMTEC SOLAR,NaN,NaN,CNY,Equity Securities (Main Board)
0713.HK,WORLD HOUSEWARE,Consumer Cyclical,Furnishings, Fixtures & Appliances,HKD,Equity Securities (Main Board)
0715.HK,CHINA OCEANWIDE,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0716.HK,SINGAMAS CONT,Industrials,Metal Fabrication,USD,Equity Securities (Main Board)
0717.HK,EMPEROR CAPITAL,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0718.HK,TAI UNITED HOLD,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0719.HK,SHANDONG XINHUA,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0720.HK,AUTO ITALIA,Consumer Cyclical,Auto & Truck Dealerships,HKD,Equity Securities (Main Board)
0721.HK,C FIN INT INV,NaN,NaN,HKD,Investment Companies
0722.HK,UMP,Healthcare,Medical Care Facilities,HKD,Equity Securities (Main Board)
0723.HK,RELIANCE GLO HL,NaN,NaN,HKD,Equity Securities (Main Board)
0724.HK,RUIXIN INT'L,Industrials,Electrical Equipment & Parts,HKD,Equity Securities (Main Board)
0725.HK,PERENNIAL INT'L,Industrials,Electrical Equipment & Parts,HKD,Equity Securities (Main Board)
0726.HK,DIT GROUP,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0727.HK,CROWNICORP,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0728.HK,CHINA TELECOM,Communication Services,Telecom Services,CNY,Equity Securities (Main Board)
0729.HK,FDG EVEHICLES,Consumer Cyclical,Auto Parts,HKD,Equity Securities (Main Board)
0730.HK,SHOUGANG GRAND,Financial Services,Credit Services,HKD,Equity Securities (Main Board)
0731.HK,SAMSON PAPER,Basic Materials,Paper & Paper Products,HKD,Equity Securities (Main Board)
0732.HK,TRULY INT'L,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0733.HK,HOPEFLUENT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0736.HK,CHINA PPT INV,Financial Services,Credit Services,HKD,Equity Securities (Main Board)
0737.HK,BAY AREA DEV,Industrials,Infrastructure Operations,CNY,Equity Securities (Main Board)
0738.HK,LE SAUNDA,Consumer Cyclical,Footwear & Accessories,CNY,Equity Securities (Main Board)
0743.HK,ASIA CEMENT CH,NaN,NaN,CNY,Equity Securities (Main Board)
0745.HK,CN CULTURE GP,Communication Services,Advertising Agencies,HKD,Equity Securities (Main Board)
0746.HK,L & M CHEMICAL,Basic Materials,Chemicals,HKD,Equity Securities (Main Board)
0747.HK,SHENYANG PUBLIC,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0750.HK,SINGYES SOLAR,Technology,Solar,HKD,Equity Securities (Main Board)
0751.HK,SKYWORTH GROUP,Technology,Consumer Electronics,CNY,Equity Securities (Main Board)
0752.HK,PICO FAR EAST,NaN,NaN,HKD,Equity Securities (Main Board)
0753.HK,AIR CHINA,Industrials,Airlines,CNY,Equity Securities (Main Board)
0754.HK,HOPSON DEV HOLD,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0755.HK,SHANGHAI ZENDAI,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0756.HK,SUMMI,Consumer Defensive,Beverages&Non-Alcoholic,CNY,Equity Securities (Main Board)
0757.HK,SOLARGIGA,NaN,NaN,CNY,Equity Securities (Main Board)
0758.HK,MACROLINK CAP,Basic Materials,Other Industrial Metals & Mining,HKD,Equity Securities (Main Board)
0759.HK,CEC INT'L HOLD,Consumer Defensive,Grocery Stores,HKD,Equity Securities (Main Board)
0760.HK,TALENT PPT GP,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0762.HK,CHINA UNICOM,NaN,NaN,CNY,Equity Securities (Main Board)
0763.HK,ZTE,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0764.HK,ETERNITY INV,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0765.HK,PERFECTECH INTL,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
0766.HK,SINO PROSPER GP,Financial Services,Credit Services,HKD,Equity Securities (Main Board)
0767.HK,APSR INV,N/A,N/A,HKD,Equity Securities (Main Board)
0768.HK,UBA INVESTMENTS,NaN,NaN,HKD,Investment Companies
0769.HK,CHINA RAREEARTH,Industry,Full Time Employees,HKD,Equity Securities (Main Board)
0770.HK,SHANGHAI GROWTH,NaN,NaN,USD,Investment Companies
0771.HK,AUTOMATED SYS,Technology,Information Technology Services,HKD,Equity Securities (Main Board)
0772.HK,CHINA LIT,Communication Services,Internet Content & Information,CNY,Equity Securities (Main Board)
0775.HK,CKLIFE SCIENCES,Healthcare,Biotechnology,HKD,Equity Securities (Main Board)
0776.HK,IMPERIUM GP,Consumer Cyclical,Furnishings, Fixtures & Appliances,HKD,Equity Securities (Main Board)
0777.HK,NETDRAGON,Communication Services,Electronic Gaming & Multimedia,CNY,Equity Securities (Main Board)
0778.HK,FORTUNE REIT,Real Estate,REIT&Retail,HKD,REIT
0780.HK,TONGCHENG-ELONG,Consumer Cyclical,Travel Services,HKD,Equity Securities (Main Board)
0784.HK,LING YUI,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0787.HK,GLOBAL BRANDS,Consumer Cyclical,Apparel Manufacturing,USD,Equity Securities (Main Board)
0788.HK,CHINA TOWER,Communication Services,Telecom Services,CNY,Equity Securities (Main Board)
0789.HK,ARTINI HLDG,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0794.HK,COME SURE GROUP,NaN,NaN,HKD,Equity Securities (Main Board)
0797.HK,7ROAD,NaN,NaN,HKD,Equity Securities (Main Board)
0798.HK,CEOVU,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0799.HK,IGG,Communication Services,Electronic Gaming & Multimedia,USD,Equity Securities (Main Board)
0800.HK,A8 NEW MEDIA,NaN,NaN,CNY,Equity Securities (Main Board)
0801.HK,GOLDEN MEDITECH,Healthcare,Medical Instruments & Supplies,HKD,Equity Securities (Main Board)
0802.HK,CHINA E-WALLET,Technology,Software&Application,HKD,Equity Securities (Main Board)
0803.HK,PROSPERITY INTL,Basic Materials,Steel,HKD,Equity Securities (Main Board)
0804.HK,PINESTONE,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0806.HK,VALUE PARTNERS,Financial Services,Asset Management,HKD,Equity Securities (Main Board)
0807.HK,SIICENVIRONMENT,NaN,NaN,CNY,Equity Securities (Main Board)
0808.HK,PROSPERITY REIT,NaN,NaN,HKD,REIT
0809.HK,GLOBAL BIO-CHEM,Consumer Defensive,Packaged Foods,HKD,Equity Securities (Main Board)
0810.HK,CH INTERNET INV,NaN,NaN,HKD,Investment Companies
0811.HK,XINHUA WINSHARE,Communication Services,Publishing,CNY,Equity Securities (Main Board)
0812.HK,SWSI,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0813.HK,SHIMAO PROPERTY,NaN,NaN,CNY,Equity Securities (Main Board)
0814.HK,JINGKELONG,Consumer Cyclical,Specialty Retail,CNY,Equity Securities (Main Board)
0815.HK,CHI SILVER GP,Consumer Cyclical,Luxury Goods,CNY,Equity Securities (Main Board)
0816.HK,HUADIAN FUXIN,Utilities,Utilities&Regulated Electric,CNY,Equity Securities (Main Board)
0817.HK,CHINA JINMAO,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0818.HK,HI SUN TECH,Technology,Software&Infrastructure,HKD,Equity Securities (Main Board)
0819.HK,TIANNENG POWER,Consumer Cyclical,Auto Parts,CNY,Equity Securities (Main Board)
0821.HK,VC HOLDINGS,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0822.HK,KA SHUI INT'L,Industrials,Metal Fabrication,HKD,Equity Securities (Main Board)
0823.HK,LINK REIT-100,Real Estate,REIT&Retail,HKD,REIT
0825.HK,NWDS CHINA,Consumer Cyclical,Department Stores,HKD,Equity Securities (Main Board)
0826.HK,TIANGONG INT'L,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0827.HK,KO YO GROUP,Basic Materials,Chemicals,CNY,Equity Securities (Main Board)
0828.HK,DYNASTY WINES,Consumer Defensive,Beverages&Wineries & Distilleries,HKD,Equity Securities (Main Board)
0829.HK,SHENGUAN HLDGS,Consumer Defensive,Packaged Foods,CNY,Equity Securities (Main Board)
0830.HK,CSC DEVELOPMENT,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0831.HK,CR ASIA,NaN,NaN,HKD,Equity Securities (Main Board)
0832.HK,CENTRAL CHINA,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0833.HK,ALLTRONICS,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0834.HK,KANGDA FOOD,Consumer Defensive,Packaged Foods,HKD,Equity Securities (Main Board)
0836.HK,CHINA RES POWER,Utilities,Utilities&Independent Power Producers,HKD,Equity Securities (Main Board)
0837.HK,CARPENTER TAN,Consumer Cyclical,Furnishings, Fixtures & Appliances,CNY,Equity Securities (Main Board)
0838.HK,EVA HOLDINGS,Industrials,Metal Fabrication,HKD,Equity Securities (Main Board)
0839.HK,CHINA EDU GROUP,NaN,NaN,CNY,Equity Securities (Main Board)
0840.HK,TIANYE WATER,Industrials,Farm & Heavy Construction Machinery,HKD,Equity Securities (Main Board)
0841.HK,CASSAVA RES,Consumer Defensive,Packaged Foods,HKD,Equity Securities (Main Board)
0842.HK,LEOCH INT'L,Industrials,Electrical Equipment & Parts,CNY,Equity Securities (Main Board)
0844.HK,GREATIME INTL,Consumer Cyclical,Apparel Manufacturing,HKD,Equity Securities (Main Board)
0845.HK,GLORIOUS PPT H,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0846.HK,MINGFA GROUP,NaN,NaN,USD,Equity Securities (Main Board)
0848.HK,MAOYE INT'L,Consumer Cyclical,Department Stores,CNY,Equity Securities (Main Board)
0850.HK,TOURONG CHANGFU,NaN,NaN,HKD,Equity Securities (Main Board)
0851.HK,SHENG YUAN HLDG,NaN,NaN,HKD,Equity Securities (Main Board)
0852.HK,STRONG PETRO,Energy,Oil & Gas Refining & Marketing,HKD,Equity Securities (Main Board)
0853.HK,MICROPORT,Healthcare,Medical Devices,USD,Equity Securities (Main Board)
0854.HK,WILLAS-ARRAY,Technology,Electronics & Computer Distribution,HKD,Equity Securities (Main Board)
0855.HK,CHINA WATER,Utilities,Utilities&Regulated Water,HKD,Equity Securities (Main Board)
0856.HK,VSTECS,Technology,Electronics & Computer Distribution,HKD,Equity Securities (Main Board)
0857.HK,PETROCHINA,Energy,Oil & Gas Integrated,CNY,Equity Securities (Main Board)
0858.HK,EXTRAWELL PHAR,NaN,NaN,HKD,Equity Securities (Main Board)
0859.HK,ZHONGCHANG INTL,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0860.HK,WE SOLUTIONS,Consumer Cyclical,Auto Manufacturers,HKD,Equity Securities (Main Board)
0861.HK,DC HOLDINGS,Technology,Information Technology Services,HKD,Equity Securities (Main Board)
0862.HK,VISION VALUES,Technology,Information Technology Services,HKD,Equity Securities (Main Board)
0863.HK,BC TECH GROUP,Communication Services,Advertising Agencies,HKD,Equity Securities (Main Board)
0864.HK,WING LEE PPT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0865.HK,JIANDE INT'L,Real Estate,Real Estate&Development,CNY,Equity Securities (Main Board)
0866.HK,CHINA QINFA,Energy,Thermal Coal,CNY,Equity Securities (Main Board)
0867.HK,CMS,Healthcare,Drug Manufacturers&Specialty & Generic,CNY,Equity Securities (Main Board)
0868.HK,XINYI GLASS,Industrials,Building Products & Equipment,HKD,Equity Securities (Main Board)
0869.HK,PLAYMATES TOYS,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
0871.HK,CH DREDG ENV,Industrials,Engineering & Construction,CNY,Equity Securities (Main Board)
0872.HK,TUS INTL,Consumer Cyclical,Auto Parts,HKD,Equity Securities (Main Board)
0874.HK,BAIYUNSHAN PH,Healthcare,Drug Manufacturers&Specialty & Generic,CNY,Equity Securities (Main Board)
0875.HK,CHINA FIN INV,Consumer Defensive,Farm Products,HKD,Equity Securities (Main Board)
0876.HK,KAISA HEALTH,N/A,N/A,HKD,Equity Securities (Main Board)
0877.HK,O-NET TECH GP,Technology,Communication Equipment,HKD,Equity Securities (Main Board)
0878.HK,SOUNDWILL HOLD,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0880.HK,SJM HOLDINGS,Consumer Cyclical,Resorts & Casinos,HKD,Equity Securities (Main Board)
0881.HK,ZHONGSHENG HLDG,Consumer Cyclical,Auto & Truck Dealerships,CNY,Equity Securities (Main Board)
0882.HK,TIANJIN DEV,Utilities,Utilities&Diversified,HKD,Equity Securities (Main Board)
0883.HK,CNOOC,Energy,Oil & Gas E&P,CNY,Equity Securities (Main Board)
0884.HK,CIFI HOLD GP,NaN,NaN,CNY,Equity Securities (Main Board)
0885.HK,RENTIAN TECH,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0886.HK,SILVER BASE,Consumer Defensive,Beverages&Wineries & Distilleries,HKD,Equity Securities (Main Board)
0887.HK,EMPEROR WATCH&J,Consumer Cyclical,Luxury Goods,HKD,Equity Securities (Main Board)
0888.HK,BISON FINANCE,Communication Services,Advertising Agencies,HKD,Equity Securities (Main Board)
0889.HK,DATRONIX HOLD,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0891.HK,TRINITY,Consumer Cyclical,Apparel Retail,HKD,Equity Securities (Main Board)
0893.HK,CHINAVTM MINING,Basic Materials,Steel,CNY,Equity Securities (Main Board)
0894.HK,MAN YUE TECH,Technology,Electronic Components,HKD,Equity Securities (Main Board)
0895.HK,DONGJIANG ENV,Industrials,Waste Management,CNY,Equity Securities (Main Board)
0896.HK,HANISON,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0897.HK,WAI YUEN TONG,Healthcare,Drug Manufacturers&Specialty & Generic,HKD,Equity Securities (Main Board)
0898.HK,MULTIFIELD INTL,NaN,NaN,HKD,Equity Securities (Main Board)
0899.HK,ASIA RESOURCES,Financial Services,Credit Services,HKD,Equity Securities (Main Board)
0900.HK,AEON CREDIT,Financial Services,Credit Services,HKD,Equity Securities (Main Board)
0901.HK,EAGLERIDE INV,NaN,NaN,HKD,Investment Companies
0902.HK,HUANENG POWER,Utilities,Utilities&Independent Power Producers,CNY,Equity Securities (Main Board)
0904.HK,CHINA GREEN,NaN,NaN,CNY,Equity Securities (Main Board)
0905.HK,GLOBAL M CAP,NaN,NaN,HKD,Investment Companies
0906.HK,COFCO PACKAGING,Consumer Cyclical,Packaging & Containers,CNY,Equity Securities (Main Board)
0907.HK,ELEGANCEOPTICAL,Healthcare,Medical Instruments & Supplies,HKD,Equity Securities (Main Board)
0908.HK,ZHUHAI H INV,Industrials,Marine Shipping,CNY,Equity Securities (Main Board)
0910.HK,CHINA SANDI,Real Estate,Real Estate&Diversified,CNY,Equity Securities (Main Board)
0911.HK,QIANHAI HEALTH,N/A,N/A,HKD,Equity Securities (Main Board)
0912.HK,SUGA INT'L,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0913.HK,UNITY INV HOLD,NaN,NaN,HKD,Investment Companies
0914.HK,CONCH CEMENT,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0915.HK,DAOHE GLOBAL,Consumer Cyclical,Specialty Retail,USD,Equity Securities (Main Board)
0916.HK,CHINA LONGYUAN,Utilities,Utilities&Renewable,CNY,Equity Securities (Main Board)
0918.HK,STATE EN ASSETS,NaN,NaN,HKD,Equity Securities (Main Board)
0919.HK,MODERN BEAUTY,Consumer Cyclical,Personal Services,HKD,Equity Securities (Main Board)
0921.HK,HISENSE HA,Consumer Cyclical,Furnishings, Fixtures & Appliances,CNY,Equity Securities (Main Board)
0922.HK,ANXIANYUAN CH,Consumer Cyclical,Personal Services,HKD,Equity Securities (Main Board)
0923.HK,IWS,Industrials,Waste Management,HKD,Equity Securities (Main Board)
0924.HK,KHOON GROUP,NaN,NaN,HKD,Equity Securities (Main Board)
0925.HK,BJ PROPERTIES,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0926.HK,BESUNYEN,Consumer Defensive,Packaged Foods,CNY,Equity Securities (Main Board)
0927.HK,FUJIKON IND,Technology,Consumer Electronics,HKD,Equity Securities (Main Board)
0928.HK,LIFE HEALTHCARE,Healthcare,Diagnostics & Research,HKD,Equity Securities (Main Board)
0929.HK,IPE GROUP,Industrials,Metal Fabrication,HKD,Equity Securities (Main Board)
0931.HK,CHINA LNG,NaN,NaN,HKD,Equity Securities (Main Board)
0932.HK,SHUNTEN INTL,NaN,NaN,HKD,Equity Securities (Main Board)
0933.HK,BRIGHTOIL,NaN,NaN,USD,Equity Securities (Main Board)
0934.HK,SINOPEC KANTONS,Energy,Oil & Gas Midstream,HKD,Equity Securities (Main Board)
0935.HK,DRAGON CROWN,Industrials,Integrated Freight & Logistics,HKD,Equity Securities (Main Board)
0936.HK,EAGLE LEGEND,Industrials,Rental & Leasing Services,HKD,Equity Securities (Main Board)
0938.HK,MAN SANG INT'L,NaN,NaN,HKD,Equity Securities (Main Board)
0939.HK,CCB,Financial Services,Banks&Diversified,CNY,Equity Securities (Main Board)
0940.HK,C ANIMAL HEALTH,NaN,NaN,USD,Equity Securities (Main Board)
0941.HK,CHINA MOBILE,Communication Services,Telecom Services,CNY,Equity Securities (Main Board)
0943.HK,EFORCE HOLDINGS,Consumer Defensive,Household & Personal Products,HKD,Equity Securities (Main Board)
0945.HK,MANULIFE-S,Financial Services,Insurance&Life,HKD,Equity Securities (Main Board)
0947.HK,MOBI DEV,Technology,Communication Equipment,CNY,Equity Securities (Main Board)
0948.HK,ALPHA PRO HLDGS,Technology,Communication Equipment,HKD,Equity Securities (Main Board)
0950.HK,LEE'S PHARM,Healthcare,Drug Manufacturers&Specialty & Generic,HKD,Equity Securities (Main Board)
0951.HK,CHAOWEI POWER,Consumer Cyclical,Auto Parts,CNY,Equity Securities (Main Board)
0952.HK,TONGHAI FIN,NaN,NaN,HKD,Equity Securities (Main Board)
0953.HK,SHAW BROTHERS,Communication Services,Entertainment,CNY,Equity Securities (Main Board)
0954.HK,CHANGMAO BIO,Basic Materials,Chemicals,HKD,Equity Securities (Main Board)
0956.HK,CHINA SUNTIEN,Utilities,Utilities&Diversified,CNY,Equity Securities (Main Board)
0958.HK,HN RENEWABLES,Utilities,Utilities&Renewable,CNY,Equity Securities (Main Board)
0959.HK,CENTURY ENT INT,Consumer Cyclical,Gambling,HKD,Equity Securities (Main Board)
0960.HK,LONGFOR GROUP,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0966.HK,CHINA TAIPING,Financial Services,Insurance&Life,HKD,Equity Securities (Main Board)
0967.HK,SOUND GLOBAL,NaN,NaN,USD,Equity Securities (Main Board)
0968.HK,XINYI SOLAR,Technology,Solar,HKD,Equity Securities (Main Board)
0969.HK,HUA LIEN INT'L,Consumer Defensive,Confectioners,HKD,Equity Securities (Main Board)
0970.HK,SPARKLE ROLL,Consumer Cyclical,Auto & Truck Dealerships,HKD,Equity Securities (Main Board)
0973.HK,L'OCCITANE,Industry,Full Time Employees,EUR,Equity Securities (Main Board)
0974.HK,SKL,Consumer Defensive,Grocery Stores,HKD,Equity Securities (Main Board)
0975.HK,MONGOL MINING,Basic Materials,Coking Coal,USD,Equity Securities (Main Board)
0976.HK,CHIHO ENV,Industrials,Metal Fabrication,HKD,Equity Securities (Main Board)
0978.HK,CHI MER LAND,Real Estate,Real Estate&Diversified,CNY,Equity Securities (Main Board)
0979.HK,GREEN ENERGY GP,Industrials,Waste Management,HKD,Equity Securities (Main Board)
0980.HK,LIANHUA,Consumer Cyclical,Department Stores,CNY,Equity Securities (Main Board)
0981.HK,SMIC,Technology,Semiconductors,USD,Equity Securities (Main Board)
0982.HK,HJ CAPITAL INTL,N/A,N/A,HKD,Equity Securities (Main Board)
0983.HK,SOCAM DEV,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0984.HK,AEON STORES,Consumer Cyclical,Department Stores,HKD,Equity Securities (Main Board)
0985.HK,CST GROUP,Basic Materials,Copper,USD,Equity Securities (Main Board)
0986.HK,CH ENV ENERGY,N/A,N/A,HKD,Equity Securities (Main Board)
0987.HK,CH RENEW EN INV,NaN,NaN,HKD,Equity Securities (Main Board)
0988.HK,SILKROAD LOG,Basic Materials,Industrial Metals & Minerals,HKD,Equity Securities (Main Board)
0989.HK,GROUND INTL DEV,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0990.HK,THEME INT'L,Basic Materials,Steel,HKD,Equity Securities (Main Board)
0991.HK,DATANG POWER,Utilities,Utilities&Independent Power Producers,CNY,Equity Securities (Main Board)
0992.HK,LENOVO GROUP,Technology,Computer Hardware,USD,Equity Securities (Main Board)
0993.HK,HUARONG INT FIN,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0994.HK,CT VISION,Industrials,Engineering & Construction,HKD,Equity Securities (Main Board)
0995.HK,ANHUIEXPRESSWAY,Industry,Full Time Employees,CNY,Equity Securities (Main Board)
0996.HK,CARNIVAL GROUP,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0997.HK,CHINLINK INTL,Technology,Semiconductors,HKD,Equity Securities (Main Board)
0998.HK,CITIC BANK,NaN,NaN,CNY,Equity Securities (Main Board)
0999.HK,I.T,Consumer Cyclical,Apparel Retail,HKD,Equity Securities (Main Board)
1000.HK,BEIJING MEDIA,Basic Materials,Specialty Chemicals,CNY,Equity Securities (Main Board)
1001.HK,HK SH ALLIANCE,Industrials,Industrial Distribution,HKD,Equity Securities (Main Board)
1002.HK,V.S. INT'L,Technology,Electronic Components,CNY,Equity Securities (Main Board)
1003.HK,HUANXI MEDIA,Communication Services,Entertainment,HKD,Equity Securities (Main Board)
1004.HK,C SMARTERENERGY,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
1005.HK,MATRIX HOLDINGS,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
1006.HK,CHANGSHOUHUA,Consumer Defensive,Packaged Foods,CNY,Equity Securities (Main Board)
1007.HK,LONGHUI INTL,Consumer Cyclical,Restaurants,CNY,Equity Securities (Main Board)
1008.HK,BRILLIANT CIR,Consumer Cyclical,Packaging & Containers,HKD,Equity Securities (Main Board)
1009.HK,INT'L ENT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
1010.HK,PACRAY INT'L,NaN,NaN,HKD,Equity Securities (Main Board)
1011.HK,NT PHARMA,Healthcare,Drug Manufacturers&Specialty & Generic,CNY,Equity Securities (Main Board)
1013.HK,WAI CHUN GROUP,Technology,Electronics & Computer Distribution,HKD,Equity Securities (Main Board)
1019.HK,CONVOY,NaN,NaN,USD,Equity Securities (Main Board)
1020.HK,CYBERNAUT INT'L,Industrials,Metal Fabrication,CNY,Equity Securities (Main Board)
1021.HK,MIDAS HLDGS-S,NaN,NaN,USD,Equity Securities (Main Board)
1022.HK,FEIYU,Communication Services,Electronic Gaming & Multimedia,CNY,Equity Securities (Main Board)
1023.HK,SITOY GROUP,NaN,NaN,HKD,Equity Securities (Main Board)
1025.HK,KNT HOLDINGS,Consumer Cyclical,Apparel Manufacturing,HKD,Equity Securities (Main Board)
1026.HK,UNIVERSAL TECH,Utilities,Utilities&Regulated Water,HKD,Equity Securities (Main Board)
1027.HK,CHINA JICHENG,Consumer Cyclical,Footwear & Accessories,HKD,Equity Securities (Main Board)
